New Releases For 8/28/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

JUL130004 	PREVIEWS #300 SEP 2013 CUSTOMER ORDER FORM 	PI
APR130472 	SPAWN DARK AGES COMPLETE COLL HC 	$59.99
JUN130488 	SPAWN ORIGINS HC VOL 09 	$29.99
FEB130469 	SUPER DINOSAUR #20 [DIG] 	$2.99
JUN130567 	THINK TANK #9 [DIG] 	$3.99
MAY130517 	WALKING DEAD EZEKIEL HAS A TIGER T/S MENS XL 	$19.99
MAY130521 	WALKING DEAD EZEKIEL HAS A TIGER T/S WOMENS LG 	$19.99
MAY130520 	WALKING DEAD EZEKIEL HAS A TIGER T/S WOMENS MED 	$19.99
MAY130519 	WALKING DEAD EZEKIEL HAS A TIGER T/S WOMENS SM 	$19.99
MAY130522 	WALKING DEAD EZEKIEL HAS A TIGER T/S WOMENS XL 	$19.99

IMAGE COMICS/MCFARLANE TOYS

JUN131930 	TMP MLB BUSTER POSEY AF 	PI
JUN131931 	TMP MLB JOSH HAMILTON AF 	PI
MAY131860 	TMP NFL SMALL PROS MINI FIG SER 1 	PI
MAY131841 	TMP SPORTS NFL SERIES 32 AF 	PI
MAY131847 	TMP SPORTS NFL SERIES 32 ARIAN FOSTER AF 	PI
MAY131849 	TMP SPORTS NFL SERIES 32 PEYTON MANNING AF 	PI
MAY131843 	TMP SPORTS NFL SERIES 32 RGIII AF 	PI
MAY131846 	TMP SPORTS NFL SERIES 32 VERNON DAVIS AF 	PI
APR130582 	WALKING DEAD COMIC SER 2 GLENN AF 	PI
APR130581 	WALKING DEAD COMIC SER 2 GOVERNOR AF 	PI
APR130583 	WALKING DEAD COMIC SER 2 MICHONNE PET AF 	PI
APR130584 	WALKING DEAD COMIC SER 2 PENNY AF 	PI
APR130580 	WALKING DEAD COMIC SERIES 2 AF 	PI

MARVEL COMICS

JUN130595 	A PLUS X #11 	$3.99
JUN138087 	AMAZING SPIDER-MAN #700 5TH PTG RAMOS VAR 	$7.99
APR130742 	AMAZING SPIDER-MAN OMNIBUS HC VOL 01 NEW PTG 	$99.99
JUN130664 	ASTONISHING X-MEN #66 	$3.99
JUN130597 	AVENGERS ARENA #14 	$2.99
JUN130632 	CAPTAIN AMERICA #10 	$3.99
JUN130590 	CAPTAIN MARVEL #15 INF 	$2.99
JUN130690 	DAREDEVIL BY MARK WAID TP VOL 04 	$16.99
JUN130657 	DEADPOOL #15 	$2.99
JUN130631 	FF #11 	$2.99
JUN130698 	FURY MAX TP VOL 02 MY WAR GONE BY (MR) 	$19.99
JUN130659 	GAMBIT #16 	$2.99
MAY130717 	GUARDIANS OF GALAXY PREM HC VOL 01 COSMIC AVENGERS NOW 	$24.99
JUN130624 	JOURNEY INTO MYSTERY #655 	$2.99
MAR130730 	MMW FANTASTIC FOUR HC VOL 15 	$69.99
JUN130670 	MMW INCREDIBLE HULK TP VOL 03 	$24.99
JUN130589 	NEW AVENGERS #9 INF 	$3.99
JUN130618 	ROCKET RACCOON TP TALES FROM HALF WORLD 	$7.99
JUN130610 	SCARLET SPIDER #21 	$2.99
JUN130594 	SECRET AVENGERS #8 	$3.99
JUN130683 	SECRET AVENGERS TP VOL 01 REVERIE TP NOW 	$17.99
JUN130592 	THANOS RISING #5 INF 	$3.99
JUN130623 	THOR GOD OF THUNDER #12 	$3.99
JUN130603 	ULTIMATE COMICS SPIDER-MAN #26 	$3.99
JUN130593 	UNCANNY AVENGERS #11 	$3.99
JUN130644 	UNCANNY X-MEN #11 	$3.99
JUN130649 	WOLVERINE AND X-MEN #35 	$3.99
JUN130665 	WOLVERINE MAX #10 (MR) 	$3.99
MAY130722 	X-MEN LEGACY TP VOL 02 INVASIVE EXOTICS 	$15.99
JUN130695 	X-MEN MAGIK TP STORM AND ILLYANA 	$16.99
JUN130599 	YOUNG AVENGERS #9 NOW 	$2.99
JUN130682 	YOUNG AVENGERS TP VOL 01 STYLE SUBSTANCE NOW 	$15.99
 
COMICS & GRAPHIC NOVELS
		
MAR130956 	ADVENTURE TIME FIONNA & CAKE #1 EMERALD CITY COMIC CON 	$9.99
JUN130790 	ALL NEW FATHOM #2 ASPEN RESERVED CVR 	$3.99
